typ,symbol,nazwa
PODKLASA,49.33.Z,Transport pasażerski na żądanie pojazdem z kierowcą
KLASA,49.34,Transport pasażerski kolejami linowymi i wyciągami narciarskimi
PODKLASA,49.34.Z,Transport pasażerski kolejami linowymi i wyciągami narciarskimi
KLASA,49.39,"Pozostały transport lądowy pasażerski, gdzie indziej niesklasyfikowany"
PODKLASA,49.39.Z,"Pozostały transport lądowy pasażerski, gdzie indziej niesklasyfikowany"
GRUPA,49.4,Transport drogowy towarów oraz działalność usługowa związana z przeprowadzkami
KLASA,49.41,Transport drogowy towarów
PODKLASA,49.41.Z,Transport drogowy towarów
KLASA,49.42,Działalność usługowa związana z przeprowadzkami
PODKLASA,49.42.Z,Działalność usługowa związana z przeprowadzkami
GRUPA,49.5,Transport rurociągowy
KLASA,49.50,Transport rurociągowy
PODKLASA,49.50.A,Transport rurociągowy paliw gazowych
PODKLASA,49.50.B,Transport rurociągowy pozostałych towarów
DZIAŁ,50,TRANSPORT WODNY
GRUPA,50.1,Transport morski i przybrzeżny pasażerski
KLASA,50.10,Transport morski i przybrzeżny pasażerski
PODKLASA,50.10.Z,Transport morski i przybrzeżny pasażerski
GRUPA,50.2,Transport morski i przybrzeżny towarów
KLASA,50.20,Transport morski i przybrzeżny towarów
PODKLASA,50.20.Z,Transport morski i przybrzeżny towarów
GRUPA,50.3,Transport wodny śródlądowy pasażerski
KLASA,50.30,Transport wodny śródlądowy pasażerski
PODKLASA,50.30.Z,Transport wodny śródlądowy pasażerski
GRUPA,50.4,Transport wodny śródlądowy towarów
KLASA,50.40,Transport wodny śródlądowy towarów
PODKLASA,50.40.Z,Transport wodny śródlądowy towarów
DZIAŁ,51,TRANSPORT LOTNICZY
GRUPA,51.1,Transport lotniczy pasażerski
KLASA,51.10,Transport lotniczy pasażerski
PODKLASA,51.10.Z,Transport lotniczy pasażerski
GRUPA,51.2,Transport lotniczy towarów i transport kosmiczny
KLASA,51.21,Transport lotniczy towarów
PODKLASA,51.21.Z,Transport lotniczy towarów
KLASA,51.22,Transport kosmiczny
PODKLASA,51.22.Z,Transport kosmiczny
DZIAŁ,52,"MAGAZYNOWANIE, PRZECHOWYWANIE I DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA TRANSPORT"
GRUPA,52.1,Magazynowanie i przechowywanie towarów
KLASA,52.10,Magazynowanie i przechowywanie towarów
PODKLASA,52.10.A,Magazynowanie i przechowywanie zbóż i nasion oleistych
PODKLASA,52.10.B,Magazynowanie i przechowywanie pozostałych towarów
GRUPA,52.2,Działalność usługowa wspomagająca transport
KLASA,52.21,Działalność usługowa wspomagająca transport lądowy
PODKLASA,52.21.A,Pomoc drogowa
PODKLASA,52.21.B,Pozostała działalność usługowa wspomagająca transport lądowy
KLASA,52.22,Działalność usługowa wspomagająca transport wodny
PODKLASA,52.22.A,Działalność usługowa wspomagająca transport morski
PODKLASA,52.22.B,Działalność usługowa wspomagająca transport wodny śródlądowy
KLASA,52.23,Działalność usługowa wspomagająca transport lotniczy
PODKLASA,52.23.Z,Działalność usługowa wspomagająca transport lotniczy
KLASA,52.24,Przeładunek towarów
PODKLASA,52.24.A,Przeładunek towarów w portach morskich
PODKLASA,52.24.B,Przeładunek towarów w portach śródlądowych
PODKLASA,52.24.C,Przeładunek towarów w pozostałych punktach przeładunkowych
KLASA,52.25,Działalność logistyczna
PODKLASA,52.25.Z,Działalność logistyczna
KLASA,52.26,Pozostała działalność usługowa wspomagająca transport
PODKLASA,52.26.Z,Pozostała działalność usługowa wspomagająca transport
GRUPA,52.3,Pośrednictwo w transporcie
KLASA,52.31,Pośrednictwo w transporcie towarów
PODKLASA,52.31.Z,Pośrednictwo w transporcie towarów
KLASA,52.32,Pośrednictwo w transporcie pasażerskim
PODKLASA,52.32.Z,Pośrednictwo w transporcie pasażerskim
DZIAŁ,53,DZIAŁALNOŚĆ POCZTOWA I KURIERSKA
GRUPA,53.1,Działalność pocztowa objęta obowiązkiem świadczenia usług powszechnych (operatora publicznego)
KLASA,53.10,Działalność pocztowa objęta obowiązkiem świadczenia usług powszechnych (operatora publicznego)
PODKLASA,53.10.Z,Działalność pocztowa objęta obowiązkiem świadczenia usług powszechnych (operatora publicznego)
GRUPA,53.2,Pozostała działalność pocztowa i kurierska
KLASA,53.20,Pozostała działalność pocztowa i kurierska
PODKLASA,53.20.Z,Pozostała działalność pocztowa i kurierska
GRUPA,53.3,Pośrednictwo w zakresie działalności pocztowej i kurierskiej
KLASA,53.30,Pośrednictwo w zakresie działalności pocztowej i kurierskiej
PODKLASA,53.30.Z,Pośrednictwo w zakresie działalności pocztowej i kurierskiej
SEKCJA,I,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI
DZIAŁ,55,ZAKWATEROWANIE
GRUPA,55.1,Hotele i podobne obiekty zakwaterowania
KLASA,55.10,Hotele i podobne obiekty zakwaterowania
PODKLASA,55.10.Z,Hotele i podobne obiekty zakwaterowania
GRUPA,55.2,Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania
KLASA,55.20,Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania
PODKLASA,55.20.Z,Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania
GRUPA,55.3,Pola kempingowe
KLASA,55.30,Pola kempingowe
PODKLASA,55.30.Z,Pola kempingowe i pola namiotowe
GRUPA,55.4,Pośrednictwo w zakwaterowaniu
KLASA,55.40,Pośrednictwo w zakwaterowaniu
PODKLASA,55.40.Z,Pośrednictwo w zakwaterowaniu
GRUPA,55.9,Pozostałe zakwaterowanie
KLASA,55.90,Pozostałe zakwaterowanie
PODKLASA,55.90.Z,Pozostałe zakwaterowanie
DZIAŁ,56,DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM
GRUPA,56.1,Restauracje i ruchome placówki gastronomiczne
KLASA,56.11,Restauracje
PODKLASA,56.11.Z,Restauracje
KLASA,56.12,Ruchome placówki gastronomiczne
PODKLASA,56.12.Z,Ruchome placówki gastronomiczne
GRUPA,56.2,Okazjonalne i regularne przygotowywanie żywności dla odbiorców zewnętrznych (katering) i pozostała gastronomiczna działalność usługowa
KLASA,56.21,Okazjonalne przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering okazjonalny)
PODKLASA,56.21.Z,Okazjonalne przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering okazjonalny)
KLASA,56.22,Regularne przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering regularny) i pozostała gastronomiczna działalność usługowa
PODKLASA,56.22.Z,Regularne przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering regularny) i pozostała gastronomiczna działalność usługowa
GRUPA,56.3,Podawanie napojów
KLASA,56.30,Podawanie napojów
PODKLASA,56.30.Z,Podawanie napojów
GRUPA,56.4,Pośrednictwo w zakresie działalności usługowej związanej z wyżywieniem
KLASA,56.40,Pośrednictwo w zakresie działalności usługowej związanej z wyżywieniem
PODKLASA,56.40.Z,Pośrednictwo w zakresie działalności usługowej związanej z wyżywieniem
SEKCJA,J,DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI
DZIAŁ,58,DZIAŁALNOŚĆ WYDAWNICZA
GRUPA,58.1,"Wydawanie książek, gazet i periodyków oraz pozostała działalność wydawnicza, z wyłączeniem w zakresie oprogramowania"
KLASA,58.11,Wydawanie książek
PODKLASA,58.11.Z,Wydawanie książek
KLASA,58.12,Wydawanie gazet
PODKLASA,58.12.Z,Wydawanie gazet
KLASA,58.13,Wydawanie czasopism i pozostałych periodyków
PODKLASA,58.13.Z,Wydawanie czasopism i pozostałych periodyków
KLASA,58.19,"Pozostała działalność wydawnicza, z wyłączeniem w zakresie oprogramowania"
PODKLASA,58.19.Z,"Pozostała działalność wydawnicza, z wyłączeniem w zakresie oprogramowania"
GRUPA,58.2,Działalność wydawnicza w zakresie oprogramowania
KLASA,58.21,Działalność wydawnicza w zakresie gier komputerowych
PODKLASA,58.21.Z,Działalność wydawnicza w zakresie gier komputerowych
KLASA,58.29,Działalność wydawnicza w zakresie pozostałego oprogramowania
PODKLASA,58.29.Z,Działalność wydawnicza w zakresie pozostałego oprogramowania
DZIAŁ,59,"DZIAŁALNOŚĆ ZWIĄZANA Z PRODUKCJĄ FILMÓW, NAGRAŃ WIDEO, PROGRAMÓW TELEWIZYJNYCH, NAGRAŃ DŹWIĘKOWYCH I MUZYCZNYCH"
GRUPA,59.1,"Działalność związana z filmami, nagraniami wideo i programami telewizyjnymi"
KLASA,59.11,"Działalność związana z produkcją filmów, nagrań wideo i programów telewizyjnych"
PODKLASA,59.11.Z,"Działalność związana z produkcją filmów, nagrań wideo i programów telewizyjnych"
KLASA,59.12,"Działalność postprodukcyjna związana z filmami, nagraniami wideo i programami telewizyjnymi"
PODKLASA,59.12.Z,"Działalność postprodukcyjna związana z filmami, nagraniami wideo i programami telewizyjnymi"
KLASA,59.13,Działalność związana z dystrybucją filmów i nagrań wideo
PODKLASA,59.13.Z,Działalność związana z dystrybucją filmów i nagrań wideo
KLASA,59.14,Działalność związana z projekcją filmów
PODKLASA,59.14.Z,Działalność związana z projekcją filmów
GRUPA,59.2,Działalność w zakresie nagrań dźwiękowych i muzycznych
KLASA,59.20,Działalność w zakresie nagrań dźwiękowych i muzycznych
PODKLASA,59.20.Z,Działalność w zakresie nagrań dźwiękowych i muzycznych
DZIAŁ,60,"NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH, DZIAŁALNOŚĆ AGENCJI INFORMACYJNYCH I POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z DYSTRYBUCJĄ TREŚCI"
GRUPA,60.1,Nadawanie programów radiofonicznych i dystrybucja nagrań dźwiękowych
KLASA,60.10,Nadawanie programów radiofonicznych i dystrybucja nagrań dźwiękowych
PODKLASA,60.10.Z,Nadawanie programów radiofonicznych i dystrybucja nagrań dźwiękowych
GRUPA,60.2,Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych oraz dystrybucja nagrań wideo
KLASA,60.20,Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych oraz dystrybucja nagrań wideo
PODKLASA,60.20.Z,Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych oraz dystrybucja nagrań wideo
GRUPA,60.3,Działalność agencji informacyjnych i pozostała działalność związana z dystrybucją treści
KLASA,60.31,Działalność agencji informacyjnych
PODKLASA,60.31.Z,Działalność agencji informacyjnych
KLASA,60.39,Pozostała działalność związana z dystrybucją treści
PODKLASA,60.39.Z,Pozostała działalność związana z dystrybucją treści
SEKCJA,K,"DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE TELEKOMUNIKACJI, PROGRAMOWANIA KOMPUTEROWEGO, DORADZTWA, INFRASTRUKTURY OBLICZENIOWEJ ORAZ POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI"
DZIAŁ,61,TELEKOMUNIKACJA
GRUPA,61.1,"Działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej"
KLASA,61.10,"Działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej"
PODKLASA,61.10.A,Działalność w zakresie wymiany ruchu internetowego
PODKLASA,61.10.B,"Pozostała działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej"
GRUPA,61.2,Działalność w zakresie odsprzedaży usług telekomunikacyjnych oraz pośrednictwo w telekomunikacji
KLASA,61.20,Działalność w zakresie odsprzedaży usług telekomunikacyjnych oraz pośrednictwo w telekomunikacji
PODKLASA,61.20.Z,Działalność w zakresie odsprzedaży usług telekomunikacyjnych oraz pośrednictwo w telekomunikacji
GRUPA,61.9,Działalność w zakresie pozostałej telekomunikacji
KLASA,61.90,Działalność w zakresie pozostałej telekomunikacji
PODKLASA,61.90.A,Działalność w obszarze komunikacji internetowej
PODKLASA,61.90.B,"Działalność w zakresie pozostałej telekomunikacji, gdzie indziej niesklasyfikowana"
DZIAŁ,62,"DZIAŁALNOŚĆ ZWIĄZANA Z PROGRAMOWANIEM, DORADZTWEM W ZAKRESIE INFORMATYKI I DZIAŁALNOŚCI POWIĄZANE"
GRUPA,62.1,Działalność w zakresie programowania
KLASA,62.10,Działalność w zakresie programowania
PODKLASA,62.10.A,Działalność w zakresie programowania gier komputerowych
PODKLASA,62.10.B,Pozostała działalność w zakresie programowania
GRUPA,62.2,Działalność związana z doradztwem w zakresie informatyki oraz zarządzaniem urządzeniami informatycznymi
KLASA,62.20,Działalność związana z doradztwem w zakresie informatyki oraz zarządzaniem urządzeniami informatycznymi
PODKLASA,62.20.A,Działalność w zakresie cyberbezpieczeństwa
PODKLASA,62.20.B,Pozostała działalność związana z doradztwem w zakresie informatyki oraz zarządzaniem urządzeniami informatycznymi
GRUPA,62.9,Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych
KLASA,62.90,Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych
PODKLASA,62.90.Z,Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych
DZIAŁ,63,"DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFRASTRUKTURY OBLICZENIOWEJ, PRZETWARZANIA DANYCH, ZARZĄDZANIA STRONAMI INTERNETOWYMI (HOSTING) I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI"
GRUPA,63.1,"Działalność usługowa w zakresie infrastruktury obliczeniowej, przetwarzania danych, zarządzania stronami internetowymi (hosting) i działalności powiązane"
KLASA,63.10,"Działalność usługowa w zakresie infrastruktury obliczeniowej, przetwarzania danych, zarządzania stronami internetowymi (hosting) i działalności powiązane"
PODKLASA,63.10.A,Działalność w zakresie kolokacji centrów danych oraz przetwarzania w chmurze
PODKLASA,63.10.B,Działalność usługowa w zakresie DNS
PODKLASA,63.10.C,Działalność w zakresie serwerów sieci dostarczania treści (content delivery network)
PODKLASA,63.10.D,"Pozostała działalność usługowa w zakresie infrastruktury obliczeniowej, przetwarzania danych, zarządzania stronami internetowymi (hosting) i działalności powiązane"
GRUPA,63.9,Działalność wyszukiwarek internetowych oraz pozostała działalność usługowa w zakresie informacji
KLASA,63.91,Działalność wyszukiwarek internetowych
PODKLASA,63.91.Z,Działalność wyszukiwarek internetowych
KLASA,63.92,Pozostała działalność usługowa w zakresie informacji
PODKLASA,63.92.Z,Pozostała działalność usługowa w zakresie informacji
SEKCJA,L,DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA
DZIAŁ,64,"FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH"
GRUPA,64.1,Pośrednictwo pieniężne
KLASA,64.11,Działalność banku centralnego
PODKLASA,64.11.Z,Działalność banku centralnego
KLASA,64.19,Pozostałe pośrednictwo pieniężne
PODKLASA,64.19.Z,Pozostałe pośrednictwo pieniężne
GRUPA,64.2,Działalność spółek holdingowych i spółek pozyskujących finansowanie na rzecz innych podmiotów
KLASA,64.21,Działalność spółek holdingowych
PODKLASA,64.21.Z,Działalność spółek holdingowych
KLASA,64.22,Działalność spółek pozyskujących finansowanie na rzecz innych podmiotów
PODKLASA,64.22.Z,Działalność spółek pozyskujących finansowanie na rzecz innych podmiotów
GRUPA,64.3,"Działalność trustów, funduszy i podobnych instytucji finansowych"
KLASA,64.31,Działalność funduszy rynku pieniężnego i funduszy inwestycyjnych niebędących funduszami rynku pieniężnego
PODKLASA,64.31.Z,Działalność funduszy rynku pieniężnego i funduszy inwestycyjnych niebędących funduszami rynku pieniężnego
KLASA,64.32,Działalność instytucji powierniczych
PODKLASA,64.32.Z,Działalność instytucji powierniczych
GRUPA,64.9,"Pozostała finansowa działalność usługowa, z wyłączeniem ubezpieczeń i funduszy emerytalnych"
KLASA,64.91,Leasing finansowy
PODKLASA,64.91.Z,Leasing finansowy
KLASA,64.92,Pozostałe formy udzielania kredytów
PODKLASA,64.92.A,Działalność lombardów
PODKLASA,64.92.B,"Pozostałe formy udzielania kredytów, gdzie indziej niesklasyfikowane"
KLASA,64.99,"Pozostała finansowa działalność usługowa, z wyłączeniem ubezpieczeń i funduszy emerytalnych, gdzie indziej niesklasyfikowana"
PODKLASA,64.99.Z,"Pozostała finansowa działalność usługowa, z wyłączeniem ubezpieczeń i funduszy emerytalnych, gdzie indziej niesklasyfikowana"
DZIAŁ,65,"DZIAŁALNOŚĆ W ZAKRESIE UBEZPIECZEŃ, REASEKURACJI ORAZ FUNDUSZY EMERYTALNYCH, Z WYŁĄCZENIEM OBOWIĄZKOWEGO UBEZPIECZENIA SPOŁECZNEGO"
GRUPA,65.1,Działalność w zakresie ubezpieczeń
KLASA,65.11,Działalność w zakresie ubezpieczeń na życie
PODKLASA,65.11.Z,Działalność w zakresie ubezpieczeń na życie
KLASA,65.12,Działalność w zakresie pozostałych ubezpieczeń osobowych oraz ubezpieczeń majątkowych
PODKLASA,65.12.Z,Działalność w zakresie pozostałych ubezpieczeń osobowych oraz ubezpieczeń majątkowych
GRUPA,65.2,Działalność w zakresie reasekuracji
KLASA,65.20,Działalność w zakresie reasekuracji
PODKLASA,65.20.Z,Działalność w zakresie reasekuracji
GRUPA,65.3,Działalność w zakresie funduszy emerytalnych
KLASA,65.30,Działalność w zakresie funduszy emerytalnych
PODKLASA,65.30.Z,Działalność w zakresie funduszy emerytalnych
DZIAŁ,66,"DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE, UBEZPIECZENIA I FUNDUSZE EMERYTALNE"
GRUPA,66.1,"Działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszy emerytalnych"
KLASA,66.11,Zarządzanie rynkami finansowymi
PODKLASA,66.11.Z,Zarządzanie rynkami finansowymi
KLASA,66.12,Działalność maklerska związana z rynkiem papierów wartościowych i towarów giełdowych
PODKLASA,66.12.Z,Działalność maklerska związana z rynkiem papierów wartościowych i towarów giełdowych
KLASA,66.19,"Pozostała działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszy emerytalnych"
PODKLASA,66.19.Z,"Pozostała działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszy emerytalnych"
GRUPA,66.2,Działalność wspomagająca ubezpieczenia i fundusze emerytalne
KLASA,66.21,Działalność związana z oceną ryzyka i szacowaniem poniesionych strat
PODKLASA,66.21.Z,Działalność związana z oceną ryzyka i szacowaniem poniesionych strat
KLASA,66.22,Działalność agentów i brokerów ubezpieczeniowych
PODKLASA,66.22.Z,Działalność agentów i brokerów ubezpieczeniowych
KLASA,66.29,"Działalność wspomagająca ubezpieczenia i fundusze emerytalne, gdzie indziej niesklasyfikowana"
PODKLASA,66.29.Z,"Działalność wspomagająca ubezpieczenia i fundusze emerytalne, gdzie indziej niesklasyfikowana"
GRUPA,66.3,Działalność związana z zarządzaniem funduszami
KLASA,66.30,Działalność związana z zarządzaniem funduszami
PODKLASA,66.30.Z,Działalność związana z zarządzaniem funduszami
SEKCJA,M,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI
DZIAŁ,68,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI
GRUPA,68.1,Działalność związana z obsługą rynku nieruchomości na własny rachunek oraz realizacja projektów budowlanych
KLASA,68.11,Kupno i sprzedaż nieruchomości na własny rachunek
PODKLASA,68.11.Z,Kupno i sprzedaż nieruchomości na własny rachunek
KLASA,68.12,Realizacja projektów budowlanych
PODKLASA,68.12.A,Realizacja projektów budowlanych związanych ze wznoszeniem budynków mieszkalnych
PODKLASA,68.12.B,Realizacja projektów budowlanych związanych ze wznoszeniem budynków niemieszkalnych
PODKLASA,68.12.C,Realizacja pozostałych projektów budowlanych
GRUPA,68.2,Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi
KLASA,68.20,Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi
PODKLASA,68.20.Z,Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi
GRUPA,68.3,Działalność związana z obsługą rynku nieruchomości wykonywana na zlecenie
KLASA,68.31,Pośrednictwo w obrocie nieruchomościami
PODKLASA,68.31.Z,Pośrednictwo w obrocie nieruchomościami
KLASA,68.32,Pozostała działalność związana z obsługą rynku nieruchomości wykonywana na zlecenie
PODKLASA,68.32.A,Działalność związana z wyceną nieruchomości
PODKLASA,68.32.B,Działalność związana z zarządzaniem nieruchomościami wykonywanym na zlecenie
PODKLASA,68.32.C,"Pozostała działalność związana z obsługą rynku nieruchomości wykonywana na zlecenie, gdzie indziej niesklasyfikowana"
SEKCJA,N,"DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA"
DZIAŁ,69,"DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE"
GRUPA,69.1,Działalność prawnicza
KLASA,69.10,Działalność prawnicza
PODKLASA,69.10.Z,Działalność prawnicza
GRUPA,69.2,Działalność rachunkowo-księgowa; doradztwo podatkowe
KLASA,69.20,Działalność rachunkowo-księgowa; doradztwo podatkowe
PODKLASA,69.20.A,Działalność rachunkowo-księgowa
PODKLASA,69.20.B,Doradztwo podatkowe
PODKLASA,69.20.C,Działalność w zakresie audytu finansowego 
DZIAŁ,70,DZIAŁALNOŚĆ CENTRAL (HEAD OFFICES) ORAZ DORADZTWO ZWIĄZANE Z ZARZĄDZANIEM
GRUPA,70.1,Działalność central (head offices)
KLASA,70.10,Działalność central (head offices)
PODKLASA,70.10.A,Działalność biur głównych 
PODKLASA,70.10.B,Działalność central usług wspólnych
GRUPA,70.2,Doradztwo w zakresie prowadzenia działalności gospodarczej i pozostałe doradztwo w zakresie zarządzania
KLASA,70.20,Doradztwo w zakresie prowadzenia działalności gospodarczej i pozostałe doradztwo w zakresie zarządzania
PODKLASA,70.20.Z,Doradztwo w zakresie prowadzenia działalności gospodarczej i pozostałe doradztwo w zakresie zarządzania
DZIAŁ,71,DZIAŁALNOŚĆ W ZAKRESIE ARCHITEKTURY I INŻYNIERII; BADANIA I ANALIZY TECHNICZNE
GRUPA,71.1,Działalność w zakresie architektury i inżynierii oraz związane z nią doradztwo techniczne
KLASA,71.11,Działalność w zakresie architektury
PODKLASA,71.11.Z,Działalność w zakresie architektury
KLASA,71.12,Działalność w zakresie inżynierii i związane z nią doradztwo techniczne
PODKLASA,71.12.A,Działalność w zakresie geodezji i kartografii
PODKLASA,71.12.B,Pozostała działalność w zakresie inżynierii i związane z nią doradztwo techniczne
GRUPA,71.2,Badania i analizy techniczne
KLASA,71.20,Badania i analizy techniczne
PODKLASA,71.20.A,Badania i analizy związane z jakością żywności
PODKLASA,71.20.B,Kontrola i wydawanie opinii o stanie technicznym przewodów kominowych oraz wentylacyjnych
PODKLASA,71.20.C,Pozostałe badania i analizy techniczne
DZIAŁ,72,BADANIA NAUKOWE I PRACE ROZWOJOWE
GRUPA,72.1,Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych
KLASA,72.10,Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych
PODKLASA,72.10.Z,Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych
GRUPA,72.2,Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych
KLASA,72.20,Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych
PODKLASA,72.20.Z,Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych
DZIAŁ,73,"DZIAŁALNOŚĆ W ZAKRESIE REKLAMY, BADANIA RYNKU I PUBLIC RELATIONS"
GRUPA,73.1,Reklama
KLASA,73.11,Działalność agencji reklamowych
PODKLASA,73.11.Z,Działalność agencji reklamowych
KLASA,73.12,Reklama poprzez środki masowego przekazu
PODKLASA,73.12.Z,Reklama poprzez środki masowego przekazu
GRUPA,73.2,Badanie rynku i opinii publicznej
KLASA,73.20,Badanie rynku i opinii publicznej
PODKLASA,73.20.Z,Badanie rynku i opinii publicznej
GRUPA,73.3,Działalność w zakresie public relations i komunikacji
KLASA,73.30,Działalność w zakresie public relations i komunikacji
PODKLASA,73.30.A,Działalność lobbingowa
PODKLASA,73.30.B,Działalność pozostała w zakresie public relations i komunikacji
DZIAŁ,74,"POZOSTAŁA DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA"
GRUPA,74.1,Działalność w zakresie specjalistycznego projektowania
KLASA,74.11,Działalność w zakresie wzornictwa przemysłowego i projektowania mody
PODKLASA,74.11.Z,Działalność w zakresie wzornictwa przemysłowego i projektowania mody
KLASA,74.12,Działalność w zakresie projektowania graficznego i komunikacji wizualnej
PODKLASA,74.12.Z,Działalność w zakresie projektowania graficznego i komunikacji wizualnej
KLASA,74.13,Działalność w zakresie projektowania wnętrz
PODKLASA,74.13.Z,Działalność w zakresie projektowania wnętrz
KLASA,74.14,Pozostała działalność w zakresie specjalistycznego projektowania
PODKLASA,74.14.Z,Pozostała działalność w zakresie specjalistycznego projektowania
GRUPA,74.2,Działalność fotograficzna
KLASA,74.20,Działalność fotograficzna
PODKLASA,74.20.Z,Działalność fotograficzna
GRUPA,74.3,Działalność związana z tłumaczeniami
KLASA,74.30,Działalność związana z tłumaczeniami
PODKLASA,74.30.Z,Działalność związana z tłumaczeniami
GRUPA,74.9,"Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana"
KLASA,74.91,Pośrednictwo w obrocie patentami i działalność marketingowa w tym zakresie
PODKLASA,74.91.Z,Działalność rzeczników patentowych i działalność marketingowa
KLASA,74.99,"Wszelka pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana"
PODKLASA,74.99.Z,"Wszelka pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana"
DZIAŁ,75,DZIAŁALNOŚĆ WETERYNARYJNA
GRUPA,75.0,Działalność weterynaryjna
KLASA,75.00,Działalność weterynaryjna
PODKLASA,75.00.Z,Działalność weterynaryjna
SEKCJA,O,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA
DZIAŁ,77,WYNAJEM I DZIERŻAWA
GRUPA,77.1,Wynajem i dzierżawa pojazdów silnikowych
KLASA,77.11,Wynajem i dzierżawa samochodów osobowych i lekkich pojazdów silnikowych
PODKLASA,77.11.Z,"Wynajem i dzierżawa samochodów osobowych i lekkich pojazdów silnikowych, w tym motocykli"
KLASA,77.12,Wynajem i dzierżawa samochodów ciężarowych
PODKLASA,77.12.Z,Wynajem i dzierżawa samochodów ciężarowych
GRUPA,77.2,Wypożyczanie i dzierżawa artykułów użytku osobistego i domowego
KLASA,77.21,Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego
PODKLASA,77.21.Z,Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego
KLASA,77.22,Wypożyczanie i dzierżawa pozostałych artykułów użytku osobistego i domowego
PODKLASA,77.22.Z,Wypożyczanie i dzierżawa pozostałych artykułów użytku osobistego i domowego
GRUPA,77.3,"Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych"
KLASA,77.31,Wynajem i dzierżawa maszyn i urządzeń rolniczych
PODKLASA,77.31.Z,Wynajem i dzierżawa maszyn i urządzeń rolniczych
KLASA,77.32,Wynajem i dzierżawa maszyn i urządzeń budowlanych
