typ,symbol,nazwa
KLASA,11.04,Produkcja pozostałych niedestylowanych napojów fermentowanych
PODKLASA,11.04.Z,Produkcja pozostałych niedestylowanych napojów fermentowanych
KLASA,11.05,Produkcja piwa
PODKLASA,11.05.Z,Produkcja piwa
KLASA,11.06,Produkcja słodu
PODKLASA,11.06.Z,Produkcja słodu
KLASA,11.07,Produkcja napojów bezalkoholowych i wód butelkowanych
PODKLASA,11.07.Z,Produkcja napojów bezalkoholowych i wód butelkowanych
DZIAŁ,12,PRODUKCJA WYROBÓW TYTONIOWYCH
GRUPA,12.0,Produkcja wyrobów tytoniowych
KLASA,12.00,Produkcja wyrobów tytoniowych
PODKLASA,12.00.Z,Produkcja wyrobów tytoniowych
DZIAŁ,13,PRODUKCJA WYROBÓW TEKSTYLNYCH
GRUPA,13.1,Przygotowanie i przędzenie włókien tekstylnych
KLASA,13.10,Przygotowanie i przędzenie włókien tekstylnych
PODKLASA,13.10.Z,Przygotowanie i przędzenie włókien tekstylnych
GRUPA,13.2,Produkcja tkanin
KLASA,13.20,Produkcja tkanin
PODKLASA,13.20.Z,Produkcja tkanin
GRUPA,13.3,Wykończanie wyrobów tekstylnych
KLASA,13.30,Wykończanie wyrobów tekstylnych
PODKLASA,13.30.Z,Wykończanie wyrobów tekstylnych
GRUPA,13.9,Produkcja pozostałych wyrobów tekstylnych
KLASA,13.91,Produkcja dzianin metrażowych
PODKLASA,13.91.Z,Produkcja dzianin metrażowych
KLASA,13.92,Produkcja wyrobów tekstylnych dla gospodarstw domowych i gotowych artykułów wyposażenia wnętrz
PODKLASA,13.92.Z,Produkcja wyrobów tekstylnych dla gospodarstw domowych i gotowych artykułów wyposażenia wnętrz
KLASA,13.93,Produkcja dywanów i chodników
PODKLASA,13.93.Z,Produkcja dywanów i chodników
KLASA,13.94,"Produkcja wyrobów powroźniczych, lin, szpagatów i wyrobów sieciowych"
PODKLASA,13.94.Z,"Produkcja wyrobów powroźniczych, lin, szpagatów i wyrobów sieciowych"
KLASA,13.95,Produkcja włóknin i wyrobów wykonanych z włókniny
PODKLASA,13.95.Z,Produkcja włóknin i wyrobów wykonanych z włókniny
KLASA,13.96,Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych
PODKLASA,13.96.Z,Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych
KLASA,13.99,"Produkcja pozostałych wyrobów tekstylnych, gdzie indziej niesklasyfikowana"
PODKLASA,13.99.Z,"Produkcja pozostałych wyrobów tekstylnych, gdzie indziej niesklasyfikowana"
DZIAŁ,14,PRODUKCJA ODZIEŻY
GRUPA,14.1,Produkcja odzieży dzianej
KLASA,14.10,Produkcja odzieży dzianej
PODKLASA,14.10.Z,Produkcja odzieży dzianej
GRUPA,14.2,Produkcja pozostałej odzieży i dodatków do odzieży
KLASA,14.21,Produkcja odzieży wierzchniej
PODKLASA,14.21.Z,Produkcja odzieży wierzchniej
KLASA,14.22,Produkcja bielizny
PODKLASA,14.22.Z,Produkcja bielizny
KLASA,14.23,Produkcja odzieży roboczej
PODKLASA,14.23.Z,Produkcja odzieży roboczej
KLASA,14.24,Produkcja odzieży skórzanej i wyrobów futrzarskich
PODKLASA,14.24.Z,Produkcja odzieży skórzanej i wyrobów futrzarskich
KLASA,14.29,"Produkcja pozostałej odzieży i dodatków do odzieży, gdzie indziej niesklasyfikowana"
PODKLASA,14.29.Z,"Produkcja pozostałej odzieży i dodatków do odzieży, gdzie indziej niesklasyfikowana"
DZIAŁ,15,"PRODUKCJA SKÓR I WYROBÓW ZE SKÓR WYPRAWIONYCH, PRODUKCJA PODOBNYCH WYROBÓW Z INNYCH MATERIAŁÓW"
GRUPA,15.1,"Garbowanie, barwienie, wyprawa skór, w tym futerkowych; produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich"
KLASA,15.11,"Garbowanie, barwienie, wyprawa skór, w tym futerkowych"
